place;sport;sport;liga_id;liga_name;is_top;
;;Футбол;2495291;Кот-д’Ивуар. Лига 1;0;
;;Футбол;19532;Кубок Австрии. 1/4 финала;1;
;;Футбол;3532046;Кубок Англии. 1/16 финала;2;
;;Футбол;17884;Кубок Бельгии. 1/2 финала. Ответные матчи;2;
;;Футбол;5288887;Кубок Германии. 1/8 финала;2;
;;Футбол;40235;Кубок Греции. 1/8 финала. Ответные матчи;1;
;;;5467569;;2;
;;Футбол;5450358;Кубок Италии. 1/4 финала;2;
;;ср;4466911;;1;
;;Футбол;159638;Кубок Мальты. 1/8 финала;1;
;;Футбол;11316;Кубок Уэльса. 1/8 финала;1;
;;Футбол;2665952;Кубок Финляндии. Групповой этап;1;
;;Футбол;18027;Кубок Франции. 1/8 финала;2;
;;Футбол;935529;Кувейт. Премьер-лига;1;
;;Футбол;16954;Лига Европы УЕФА. 1/16 финала. Первые матчи;2;
;;Футбол;166906;Лига Чемпионов Азии. Квалификация;1;
;;Футбол;2942197;Лига Чемпионов Африки. Групповой этап;1;
;;Футбол;16953;Лига Чемпионов УЕФА. 1/8 финала. Первые матчи;2;
;;Футбол;5375;Лига чемпионов арабских стран. 1/4 финала. Ответные матчи;1;
;;;16476;;0;
;;Футбол;3545198;Мексика. Лига де Ассенсо. Клаусура;0;
;;Футбол;34818;Мексика. Молодежная лига (до 20 лет);0;
;;Футбол;1772557;Мексика. Примера дивизион. Клаусура;1;
;;Футбол;1990587;Мьянма. Национальная лига;0;
;;Футбол;1601055;Нидерланды. 1-й дивизион;1;
;;Футбол;452330;Нидерланды. 2-й дивизион;0;
;;Футбол;13818;Нидерланды. Эредивизи;2;
;;;3590309;;0;
;;Футбол;935579;Новая Зеландия. Премьер-лига;1;
;;Футбол;5257816;ОАЭ. 1-й дивизион;0;
;;Футбол;15865;ОАЭ. Про-лига;1;
;;Футбол;2434796;Оман. Премьер-лига;0;
;;Футбол;5432028;Отборочный молодежный турнир к Олимпийским Играм;1;
;;;1571300;;0;
;;Футбол;1874937;Парагвай. Примера дивизион. Апертура;0;
;;Футбол;13835;Польша. Экстракласа;1;
;;Футбол;5464428;Португалия. Кубок лиги. Финал;2;
;;Футбол;17078;Португалия. Молодежная лига (до 19 лет);1;
;;Футбол;4014463;Португалия. Молодежная лига (до 23 лет);1;
;;Футбол;3221027;Португалия. Национальный чемпионат;1;
;;Футбол;14233;Португалия. Примейра-лига;2;
;;Футбол;2708470;Португалия. Сегунда-лига;1;
;;Футбол;5274942;Россия. Премьер-лига. Специальные предложения;;
;;Футбол;2424129;Румыния. 1-я лига;;
;;;3328062;;1;
;;Футбол;2867598;Саудовская Аравия. Премьер лига;1;
;;Футбол;14180;Северная Ирландия. Премьер-лига;1;
;;Футбол;115639;Северная Ирландия. Чемпионшип;0;
;;;2477590;;0;
;;Футбол;22416;Словакия. Суперлига;1;
;;Футбол;3536317;Суперкубок Японии. Саитама;1;
;;Футбол;5427929;Товарищеские матчи;1;
;;Футбол;14822;Турция. Суперлига;1;
;;Футбол;15008;Турция. 1-я лига;0;
;;Футбол;13774;Украина. Премьер-лига;1;
;;Футбол;5394113;Уэльс. 1-й дивизион. Юг;1;
;;Футбол;4441542;Финляндия. Кубок Суоми. Какконен. Групповой этап;1;
;;Футбол;13788;Франция. Лига 1;2;
;;Футбол;14243;Франция. Лига 3;1;
;;Футбол;2080891;Франция. Молодежная лига (до 19 лет);0;
;;Футбол;13838;Франция. Лига 2;1;
;;Футбол;3742563;Хорватия. 1-я лига;1;
;;Футбол;5420303;Чемпионат Азии (до 23 лет). Таиланд;0;
;;Футбол;5463171;Чемпионат Азии (до 23 лет). Финал. Таиланд;1;
;;Футбол;5466854;Чехия. Зимняя лига. 1/2 финала. Та-Кали;1;
;;Футбол;3580839;Чили. Примера дивизион ;1;
;;Футбол;13803;Швейцария. Суперлига;1;
;;Футбол;13837;Швейцария. Челлендж-лига;0;
;;Футбол;111443;Шотландия. 1-я лига;0;
;;Футбол;111444;Шотландия. 2-я лига;0;
;;Футбол;13816;Шотландия. Премьер-лига;1;
;;Футбол;111442;Шотландия. Чемпион-лига;1;
;;Футбол;112645;ЮАР. 1-й дивизион;0;
;;Футбол;18048;ЮАР. Премьер-лига;1;
;;Футбол;30835;Ямайка. Премьер-лига;0;
;;Футзал;15042;Испания. Примера дивизион;;
;;Футзал;15220;Чехия. 1 Лига;;
;;Хоккей;1752860;AHL. Регулярный чемпионат;2;
;;Хоккей;4452965;NHL. Матч всех звезд (20 мин. в формате 3 на 3);2;
;;Хоккей;122978;OHL. Регулярный чемпионат;1;
;;Хоккей;23569;WHL. Регулярный чемпионат;1;
;;Хоккей;500677;Австрия. EBEL;;
;;Хоккей;15460;Азиатская лига;;
;;Хоккей;478089;Беларусь. Экстралига;1;
;;Хоккей;5368179;Беларусь. Экстралига. Плей-аут группа;;
;;Хоккей;5372212;Беларусь. Экстралига. Чемпионская группа;;
;;Хоккей;491485;ВХЛ. Регулярный чемпионат;1;
;;Хоккей;42754;Великобритания. Элитная лига;2;
;;Хоккей;5455219;Венгрия. Erste Liga. Чемпионская группа;;
;;Хоккей;15015;Германия. DEL;2;
;;Хоккей;500765;Германия. DEL2;;
;;Хоккей;15136;Дания. Метал-лига;;
;;Хоккей;1107330;Евротур. Швеция;;
;;Хоккей;3311999;Женщины. Швеция. SDHL;;
;;Хоккей;1811822;КХЛ. Регулярный чемпионат;2;
;;Хоккей;4086752;КХЛ. Статистика;;
;;Хоккей;5115754;КХЛ. Статистика игрового дня;;
;;Хоккей;3275674;Казахстан. Высшая лига;1;
;;Хоккей;122979;Канада. QMJHL. Регулярный чемпионат;;
;;Хоккей;882207;Лига чемпионов. Финал;;
;;Хоккей;22997;МХЛ. Регулярный чемпионат;1;
;;Хоккей;3320747;Норвегия. 1-й дивизион;;
;;Хоккей;3333799;Норвегия. GET-лига;2;
;;Хоккей;15173;Польша. PHL;;
;;Хоккей;4494202;Словакия. 1-я лига. Плей-аут группа;;
;;Хоккей;5460910;Словакия. 1-я лига. Чемпионская группа;;
;;Хоккей;1493915;Словакия. Типспорт лига;;
;;Хоккей;15172;Финляндия. Mestis;;
;;Хоккей;1507671;Финляндия. Высшая лига;2;
;;Хоккей;2340539;Франция. Лига Магнуса;;
;;Хоккей;5363939;Чехия. 1-я лига. Плей-аут группа;;
;;Хоккей;5361587;Чехия. 1-я лига. Чемпионская группа;;
;;Хоккей;1494111;Чехия. Экстралига;2;
;;Хоккей;15009;Швейцария. National League;;
;;Хоккей;2417632;Швеция. SHL;1;
;;Хоккей;17235;Швеция. АллЭтан. Норра;;
;;Хоккей;17178;Швеция. АллЭтан. Содра;;
;;Хоккей;15039;Швеция. Аллсвенскан;;
;;Хоккей;2770698;Швеция. ХоккиЭттан. Восток;;
;;Хоккей;2772286;Швеция. ХоккиЭттан. Запад;;
;;Хоккей;3553677;Швеция. ХоккиЭттан. Север;;
;;Хоккей;2785725;Швеция. ХоккиЭттан. Юг;;
;;Футбол;3366785;Англия. Кубок лиги. Специальные предложения;2;
;;Футбол;3425224;Англия. Лига Профессионального Развития (до 23 лет);1;
;;Футбол;3168078;Англия. Премьер-лига. Специальные предложения;2;
;;Футбол;39002;Бразилия. Гаучо;0;
;;Футбол;4534956;Бразилия. Потигуар;0;
;;Футбол;5011936;Германия. Бундеслига. Кто выше по итогам чемпионата;0;Вообще убрать это как с теннисом результата можно месяц ждать, а именно тут до июля
;;Футбол;5439456;Гибралтар. Национальная лига. Плей-аут группа;0;
;;Футбол;5476243;Женщины. Англия. Кубок лиги. 1/2 финала;1;
;;Футбол;5023984;Испания. Примера дивизион. Кто выше по итогам чемпионата;0;Вообще убрать это как с теннисом результата можно месяц ждать, а именно тут до июля
;;Футбол;149712;Италия. Кубок Примаверы. 1/4 финала;1;начиная с 1/8 финала
;;Футбол;2730947;Италия. Кубок Серии C. 1/2 финала. Первые матчи ;0;
;;Футбол;2902902;Италия. Серия A. Кто выше по итогам чемпионата;0;Вообще убрать это как с теннисом результата можно месяц ждать, а именно тут до июля
;;Футбол;3065244;Камерун. Премьер-дивизион;0;
;;Футбол;22476;Коста-Рика. Примера дивизион. Клаусура;0;
;;Футбол;2690385;Кубок АФК. Квалификация. Ответные матчи;0;
;;Футбол;17741;Кубок Кипра. 1/8 финала. Ответные матчи;0;
;;Футбол;17618;Кубок Кипра. 1/8 финала. Первые матчи;0;
;;Футбол;5473987;Кубок Мексики. Апертура. 1/8 финала. Ответные матчи;0;
;;Футбол;17945;Кубок Северной Ирландии;0;
;;Футбол;3374117;Палестина. WBL;0;
;;Футбол;75344;Саудовская Аравия. 1-й дивизион;0;
;;Футбол;1571452;Сборные. Товарищеские матчи;1;Не знаю зависит от матчей. Допустим Россия-Германия это топ, алжир — Папуа Новая гвинея — шлак
;;Футбол;3598864;Специальные предложения;0;
;;Футбол;2643812;Танзания. Премьер-лига;0;
;;Футбол;16196;Тунис. 1-я лига;0;
;;Футбол;648313;Уганда. Премьер-лига;0;
;;Футбол;11184;Уэльс. Кубок лиги. Финал;0;
;;Футбол;5006855;Франция. Лига 1. Кто выше по итогам чемпионата;0;Вообще убрать это как с теннисом результата можно месяц ждать, а именно тут до июля
;;Хоккей;15636;NHL. Регулярный чемпионат;2;
;;Хоккей;3600318;Австрия. EBEL. Плей-аут;0;
;;Хоккей;3600278;Австрия. EBEL. Плей-офф;0;
;;Хоккей;488904;Латвия. LHL;0;
