liga_name;is_top;
UAE. Youth League (U21);0
VHL-B. Regular Season;1
Australia. Y-League, Grand Final;0
Austria. Young Stars League;0
Czech Republic. DHL Junior League of Academies Cup;0
Ukraine. UHL;1
Mexico. Premier League;1
Women. Israel. Premier league;0
Israel. Liga Bet;0
Mauritania Super D2;0
Friendly tournament;1
Czech Republic. Regional league (U20);0
European University Hockey League;0
Iceland. Reykjavík Cup;0
England. Premier League Cup (U23);1
Czech Republic. University League;0
Ireland. Leinster Senior League;0
Sweden. 5th league;0
Costa Rica. 2nd division;0
USA. ECHL;0
Fiji U19 League;0
India. Mumbai Super Division;0
Philippines. NCAA;0
Israel. Liga Alef. North;0
Israel. Liga Bet. South;0
India. I-league. Division 2;0
Algeria. Youth League (U19);0
India. Mumbai. Elite division;0
Myanmar. National League (U21);0
Friendly Matches (U21);1
Thailand. Youth League (U19);0
Friendly tournament. Oleg Makarovs Cup;0
Australia South Premier &amp;0
Italy. Primavera 2;1
Women. Algeria. 1st division;0
Women. National teams. Friendly matches;0
CAF Champions League. Group stage;0
India. Goa. Premier League;0
Australia Mens State League Night Series;0
Iran. Premier league (U23);0
Australia Creative Night Series;0
Australia. West State League Night Series;0
Panama. LPF. Clausura;0
WHL. Regular Season;2
International U20 World Championship, Division II, Group B;0
Argentina. Primera Division. Reserves;0
Finland. Nuorten SM-Liga (U20);0
Israel. Liga Bet. North;0
Algeria. Ligue 1;0
Argentina. Reserve league;0
Saudi Arabia. Division 2;0
UAE. Youth league (U19);0
Greece. Youth League (U19);0
Peru. Reserve League;0
Burkina Faso. Division 1.;0
Spain. Tercera Division. Group 4;0
Mali. Premier Division;0
Hungary. Liga NB I;0
Gambia. 1-st division;0
Ecuador. Super Copa;0
Malta First Division;0
Portugal. Youth League (U19);0
Finland. Youth League (U20);0
Ireland Munster League Senior Premier Division;0
Switzerland. Championship. Top-League (U20);0
Switzerland. U20 Championship;0
Caribbean clubs championship. Group Stage. Jamaica;0
Uruguay Super Cup;0
Panama. LPF. Reserve;0
Friendly Tournament Iceland. Group stage;0
Brazil. Sul-Mato-Grossense;0
San Marino. Premier League;0
Argentina Torneo Regional Amateur;0
Trinidad and Tobago. Pro-League;0
Canada. MHL;1
USA. NCAA;1
Argentina. Copa Argentina;0
Friendly matches (U20);1
Fiji Women League;0
Friendly Matches. Australia;0
Latvia. LHL;0
USA. NAHL;0
Nepal A-Division League;0
Iran. Azadegan League;0
Women. Italy. Serie A;1
Kazakhstan. MHL;0
Iran. Youth League (U23);0
South Africa. Reserve League;0
Israel. Youth league (U19);0
Greece. Super League 2 (U19);0
Germany. Bundesliga (U19);1
